,home,home_score,away,away_score
158,Everton,0,Arsenal,0
159,Aston Villa,1,Southampton,3
160,AFC Bournemouth,0,Burnley,1
161,Brighton & Hove Albion,0,Sheffield United,1
162,Newcastle United,1,Crystal Palace,0
163,Norwich City,1,Wolverhampton Wanderers,2
164,Manchester City,3,Leicester City,1
165,Crystal Palace,1,Brighton & Hove Albion,1
166,Manchester United,1,Everton,1
167,Wolverhampton Wanderers,1,Tottenham Hotspur,2
168,Arsenal,0,Manchester City,3
169,Liverpool,2,Watford,0
170,Burnley,1,Newcastle United,0
171,Chelsea,0,AFC Bournemouth,1
172,Leicester City,1,Norwich City,1
173,Sheffield United,2,Aston Villa,0
174,Southampton,0,West Ham United,1
175,West Ham United,1,Arsenal,3
176,Aston Villa,1,Leicester City,4
177,Newcastle United,2,Southampton,1
178,Norwich City,1,Sheffield United,2
179,Brighton & Hove Albion,2,Wolverhampton Wanderers,2
180,Everton,3,Chelsea,1
181,AFC Bournemouth,0,Liverpool,3
182,Tottenham Hotspur,5,Burnley,0
183,Watford,0,Crystal Palace,0
184,Manchester City,1,Manchester United,2
185,Sheffield United,0,Newcastle United,2
186,Arsenal,1,Brighton & Hove Albion,2
187,Chelsea,2,Aston Villa,1
188,Leicester City,2,Watford,0
189,Manchester United,2,Tottenham Hotspur,1
190,Southampton,2,Norwich City,1
191,Wolverhampton Wanderers,2,West Ham United,0
192,Liverpool,5,Everton,2
193,Crystal Palace,1,AFC Bournemouth,0
194,Burnley,1,Manchester City,4
195,Norwich City,2,Arsenal,2
196,Wolverhampton Wanderers,1,Sheffield United,1
197,Leicester City,2,Everton,1
198,Manchester United,2,Aston Villa,2
199,West Ham United,0,Liverpool,2
200,Wolverhampton Wanderers,1,Liverpool,2
201,Leicester City,4,West Ham United,1
202,Tottenham Hotspur,2,Norwich City,1
203,Manchester United,0,Burnley,2
204,Aston Villa,2,Watford,1
205,AFC Bournemouth,3,Brighton & Hove Albion,1
206,Crystal Palace,0,Southampton,2
207,Everton,2,Newcastle United,2
208,Sheffield United,0,Manchester City,1
209,Chelsea,2,Arsenal,2
210,Burnley,2,Leicester City,1
211,Liverpool,2,Manchester United,0
212,Watford,0,Tottenham Hotspur,0
213,Arsenal,1,Sheffield United,1
214,Brighton & Hove Albion,1,Aston Villa,1
215,Manchester City,2,Crystal Palace,2
216,Norwich City,1,AFC Bournemouth,0
217,Southampton,2,Wolverhampton Wanderers,3
218,West Ham United,1,Everton,1
219,Newcastle United,1,Chelsea,0
220,AFC Bournemouth,0,Watford,3
221,Aston Villa,1,Manchester City,6
222,Crystal Palace,1,Arsenal,1
223,Chelsea,3,Burnley,0
224,Everton,1,Brighton & Hove Albion,0
225,Leicester City,1,Southampton,2
226,Manchester United,4,Norwich City,0
227,Wolverhampton Wanderers,1,Newcastle United,1
228,Tottenham Hotspur,0,Liverpool,1
229,Sheffield United,1,West Ham United,0
230,Liverpool,2,Sheffield United,0
231,Brighton & Hove Albion,1,Chelsea,1
232,Burnley,1,Aston Villa,2
233,Newcastle United,0,Leicester City,3
234,Southampton,1,Tottenham Hotspur,0
235,Watford,2,Wolverhampton Wanderers,1
236,Manchester City,2,Everton,1
237,Norwich City,1,Crystal Palace,1
238,West Ham United,4,AFC Bournemouth,0
239,Arsenal,2,Manchester United,0
240,Brighton & Hove Albion,0,Crystal Palace,1
241,AFC Bournemouth,2,Chelsea,2
242,Newcastle United,0,Burnley,0
243,West Ham United,3,Southampton,1
244,Watford,3,Liverpool,0
245,Norwich City,1,Leicester City,0
246,Liverpool,3,West Ham United,2
247,Manchester United,3,Watford,0
248,Wolverhampton Wanderers,3,Norwich City,0
249,Arsenal,3,Everton,2
250,Chelsea,2,Tottenham Hotspur,1
251,Burnley,3,AFC Bournemouth,0
252,Crystal Palace,1,Newcastle United,0
253,Sheffield United,1,Brighton & Hove Albion,1
254,Southampton,2,Aston Villa,0
255,Leicester City,0,Manchester City,1
256,Manchester City,2,West Ham United,0
257,Chelsea,0,Manchester United,2
258,Aston Villa,2,Tottenham Hotspur,3
259,Arsenal,4,Newcastle United,0
260,Southampton,1,Burnley,2
261,Norwich City,0,Liverpool,1
262,Wolverhampton Wanderers,0,Leicester City,0
263,Sheffield United,2,AFC Bournemouth,1
264,Everton,3,Crystal Palace,1
265,Brighton & Hove Albion,1,Watford,1
266,Burnley,0,Arsenal,0
267,Tottenham Hotspur,2,Manchester City,0
268,Leicester City,2,Chelsea,2
269,AFC Bournemouth,2,Aston Villa,1
270,Crystal Palace,0,Sheffield United,1
271,Liverpool,4,Southampton,0
272,Newcastle United,0,Norwich City,0
273,Watford,2,Everton,3
274,West Ham United,3,Brighton & Hove Albion,3
275,Manchester United,0,Wolverhampton Wanderers,0
276,Leicester City,4,Aston Villa,0
277,Chelsea,4,Everton,0
278,Manchester United,2,Manchester City,0
279,Liverpool,2,AFC Bournemouth,1
280,Arsenal,1,West Ham United,0
281,Crystal Palace,1,Watford,0
282,Sheffield United,1,Norwich City,0
283,Southampton,0,Newcastle United,1
284,Wolverhampton Wanderers,0,Brighton & Hove Albion,0
285,Burnley,1,Tottenham Hotspur,1
286,Everton,1,Manchester United,1
287,Tottenham Hotspur,2,Wolverhampton Wanderers,3
